Sample Name:,At a glance:,,,,,,,,Status:,Notes:,Process ID:,Used By:,Deposition Parameters:,,,,,,,,,,,,,,Thickness Measurements:,,,,,,Resistance Measurements:,,,,,,,,,
,Substrate:,d (nm),Rs,Tc,Delta Tc,Rho,RRR,Rho*Tc,,,,,Deposition Date:,Run #:,Substrate:,SiNx or SiO2 Thickness (nm):,Chuck Slot:,Temperature (C):,Deposition Time (s),Current setpoint (mA) -or- Power setpoint (W),Nitrogen Flow (sccm),Argon Flow (sccm),Pressure (mTorr),Chuck Height (mm),Pre-deposition Spark Power (W),"Peak Power, Shutter Open (W)",Reflectance:,Transmittance:,Absorptance:,Synthesis Protocol:,Thickness (nm) (Visible Trans),Thickness (nm) (IR Trans),R_sheet Initial,R_sheet_Tc,T_C,Delta T_C,RRR,Synthesis Protocol:,rho (uOhm*cm):,rho*Tc (Ohm*nm*K):,deposition rate (nm/min):,Exclude (Y if yes else ''):
DDF034,MgO,,751,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/15/12,44,MgO,,,20,55,400,,,,47,,,,,,,,,751.3,,,,,,0,0,0,
DDF035,MgO,4.6,723,,,336,,0,FOX-14 dose test,Reproducibility Test at R.T.,,,3/16/12,45,MgO,,,20,55,400,,,,47,,,0.1503,0.5718,0.2779,based on T,4.64,,723.3,,,,,,335.59,0,5.06,
DDF036,MgO,4.7,740,,,346,,0,FOX-14 dose test,Reproducibility Test at R.T.,,,3/16/12,45,MgO,,,20,55,400,,,,47,,,0.1774,0.5704,0.2521,based on T,4.67,,740.5,,,,,,345.81,0,5.09,
DDF037,MgO,4.7,739,,,348,,0,FOX-14 dose test,Reproducibility Test at R.T.,,,3/16/12,45,MgO,,,20,55,400,,,,47,,,0.1768,0.5682,0.255,based on T,4.71,,738.6,,,,,,347.89,0,5.14,
DDF038,MgO,4.6,671,,,310,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/16/12,45,MgO,,,20,55,400,,,,47,,,0.1846,0.5724,0.2429,based on T,4.62,,671,,,,,,310.02,0,5.04,
DDF039,MgO,,742,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/16/12,46,MgO,,,20,55,400,,,,47,,,,,,,,,742.4,,,,,,0,0,0,
DDF040,MgO,,762,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/16/12,46,MgO,,,20,55,400,,,,47,,,,,,,,,761.6,,,,,,0,0,0,
DDF041,MgO,,729,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/16/12,46,MgO,,,20,55,400,,,,47,,,,,,,,,729.5,,,,,,0,0,0,
DDF042,MgO,,674,,,0,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/16/12,46,MgO,,,20,55,400,,,,47,,,,,,,,,674.1,,,,,,0,0,0,
SPD001,MgO,3.5,"1,368",,,476,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/16/12,47,MgO,,,20,55,400,,,,47,,,0.1619,0.6303,0.2078,based on T,3.48,,"1,367.50",,,,,,475.89,0,3.8,
SPD002,MgO,3.9,"1,281",,,494,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/16/12,47,MgO,,,20,55,400,,,,47,,,0.1326,0.6097,0.2577,based on T,3.86,,"1,281.10",,,,,,494.49,0,4.21,
SPD003,MgO,6.6,493,,,323,,0,Rs-Thickness Correlation?,Reproducibility Test at R.T.,,,3/16/12,47,MgO,,,20,55,400,,,,47,,,0.2052,0.4906,0.3041,based on T,6.55,,493.2,,,,,,323.05,0,7.15,
SPD004,MgO,6.4,559,,,357,,0,Rs-Thickness Correlation? Released to Fab,Reproducibility Test at R.T.,,,3/16/12,47,MgO,,,20,55,400,,,,47,,,0.1988,0.4965,0.3047,based on T,6.39,,559.2,,,,,,357.32,0,6.97,
SPD005,MgO,6.8,292,,,197,,0,Released to Fab,Detectors / width tests,,AM,3/19/12,51,MgO,,,800,65,400,,,,47,,,0.2857,0.483,0.2295,based on T,6.75,,292.1,,,,,,197.14,0,6.23,
SPD006,MgO,,295,,,0,,0,Released to Fab,Detectors(?),,FN,3/19/12,51,MgO,,,800,65,400,,,,47,,,,,,,,,294.7,,,,,,0,0,0,
SPD007,MgO,6.7,319,,,213,,0,Trash,,,QZ,3/19/12,51,MgO,,,800,65,400,,,,47,,,0.28,0.4856,0.2344,based on T,6.68,,319.2,,,,,,213.23,0,6.17,
SPD008,MgO,,305,,,0,,0,Released to Fab,Detectors,,AM/QZ,3/19/12,51,MgO,,,800,65,400,,,,47,,,,,,,,,305.2,,,,,,0,0,0,
SPD009,MgO,4.8,415,,,200,,0,Released to Fab,Detectors(?),,FN,3/19/12,52,MgO,,,800,65,400,,,,47,,,0.2352,0.5624,0.2024,based on T,4.83,,414.8,,,,,,200.36,0,4.46,
SPD010,MgO,,270,,,0,,0,,Detectors(?),,FN,3/19/12,52,MgO,,,800,65,400,,,,47,,,,,,,,,270.4,,,,,,0,0,0,
SPD011,MgO,5.9,269,,,158,,0,,Detectors(?),,FN,3/19/12,52,MgO,,,800,65,400,,,,47,,,0.2534,0.5176,0.229,based on T,5.86,,269.4,,,,,,157.84,0,5.41,
SPD012,MgO,,259,,,0,,0,Resist spun upside down,Detectors,,AM,3/19/12,52,MgO,,,800,65,400,,,,47,,,,,,,,,258.9,,,,,,0,0,0,
SPD013,MgO,5,423,,,210,,0,Released to Fab,Detectors(?),,FN,3/21/12,53,MgO,,,800,65,400,,,,47,,,0.2344,0.5565,0.2091,based on T,4.96,,423,,,,,,209.81,0,4.58,
SPD014,MgO,,312,,,0,,0,,,,,3/21/12,53,MgO,,,800,65,400,,,,47,,,,,,,,,311.9,,,,,,0,0,0,
SPD015,MgO,5.9,251,,,147,,0,Resist spun upside down,Detectors,,AM,3/21/12,53,MgO,,,800,65,400,,,,47,,,0.2568,0.5182,0.225,based on T,5.85,,251.4,,,,,,147.06,0,5.4,
SPD016,MgO,,262,,,0,,0,Released to Fab,Detectors(?),,FN,3/21/12,53,MgO,,,800,65,400,,,,47,,,,,,,,,261.7,,,,,,0,0,0,
SPD017,MgO,5.7,295,10.7,0.92,167,1.075,"17,869",measured w/ In,Deposited on Both Sides; Full Low Temp Meas,,,3/22/12,55,MgO,,,800,65,400,,,,47,,,0.211,0.5254,0.2326,based on T,5.67,,294.5,,10.7,0.92,1.07,Manual,167,"17,869.10",5.23,
SPD018,MgO,5.5,304,10.9,0.89,166,1.04,"18,090",measured w/ In,Deposited on Both Sides; Full Low Temp Meas,,,3/22/12,55,MgO,,,800,65,400,,,,47,,,0.2014,0.5345,0.2641,based on T,5.46,,304,,10.9,0.89,1.04,Manual,165.96,"18,089.84",5.04,
SPD019,MgO,5.4,302,10.7,1.14,164,1.051,"17,523",measured w/ In,Deposited on Both Sides; Full Low Temp Meas,,,3/22/12,55,MgO,,,800,65,400,,,,47,,,0.1897,0.5359,0.2744,based on T,5.43,,301.6,,10.7,1.14,1.05,Manual,163.77,"17,523.44",5.01,
SPD020,MgO,5.4,297,11.3,1.01,161,0.99,"18,247",measured w/ In,Deposited on Both Sides; Full Low Temp Meas,,,3/22/12,55,MgO,,,800,65,400,,,,47,,,0.2002,0.5361,0.2638,based on T,5.43,,297.4,,11.3,1.01,0.99,Manual,161.48,"18,247.35",5.01,
SPD021,MgO,5.2,275,11.5,0.78,143,0.96,"16,464",measured w/ In,Deposited on Both Sides; Full Low Temp Meas,,,3/23/12,56,MgO,,,800,65,400,,,,47,,,0.1981,0.5456,0.2562,based on T,5.2,,275.3,,11.5,0.78,0.96,Manual,143.16,"16,463.66",4.8,
SPD022,MgO,5.3,271,11.7,0.7,144,1.01,"16,874",measured w/ In,Deposited on Both Sides; Full Low Temp Meas,,,3/23/12,56,MgO,,,800,65,400,,,,47,,,0.1976,0.5406,0.2617,based on T,5.32,,271.1,,11.7,0.7,1.01,Manual,144.22,"16,874.07",4.91,
SPD023,MgO,5.2,253,11.55,0.74,131,1.04,"15,130",measured w/ In,Deposited on Both Sides; Full Low Temp Meas,,,3/23/12,56,MgO,,,800,65,400,,,,47,,,0.2022,0.5468,0.2511,based on T,5.18,,253,,11.55,0.74,1.04,Manual,131.05,"15,129.55",4.78,
SPD024,MgO,5.3,259,11.57,0.9,137,1.04,"15,789",measured w/ In,Deposited on Both Sides; Full Low Temp Meas,,,3/23/12,56,MgO,,,800,65,400,,,,47,,,0.1986,0.543,0.2584,based on T,5.27,,259.1,,11.57,0.9,1.04,Manual,136.53,"15,789.45",4.86,
SPD025,MgO,,551,,,0,,0,Needs backside NbN removed,Deposited on Both Sides; Optical and Resistance measurements,,,3/29/12,57-58,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,550.6,,,,,,0,0,#VALUE!,
SPD026,MgO,,590,,,0,,0,Elionix,Detectors,,QZ,3/29/12,57-58,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,589.7,,,,,,0,0,#VALUE!,
SPD027,MgO,,513,,,0,,0,Released to Fab,Deposited on Both Sides,,,3/29/12,57-58,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,513,,,,,,0,0,#VALUE!,
SPD028,MgO,,524,,,0,,0,Released to Fab,Deposited on Both Sides,,,3/29/12,57-58,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,524.2,,,,,,0,0,#VALUE!,
SPD029,MgO,,343,,,0,,0,Elionix,Deposited on Both Sides,,QZ,3/30/12,59-60,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,343,,,,,,0,0,#VALUE!,
SPD030,MgO,,319,,,0,,0,,Deposited on Both Sides,,,3/30/12,59-60,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,319.5,,,,,,0,0,#VALUE!,
SPD031,MgO,,352,,,0,,0,Elionix,Deposited on Both Sides,,QZ,3/30/12,59-60,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,352.3,,,,,,0,0,#VALUE!,
SPD032,MgO,,373,,,0,,0,Elionix,Deposited on Both Sides,,QZ,3/30/12,59-60,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,372.8,,,,,,0,0,#VALUE!,
SPD033,MgO,,330,,,0,,0,,Detectors,,AM,3/30/12,61-62,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,330,,,,,,0,0,#VALUE!,
SPD034,MgO,,326,,,0,,0,,Detectors,,AM,3/30/12,61-62,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,326.3,,,,,,0,0,#VALUE!,
SPD035,MgO,,366,,,0,,0,Trash,Deposited on Both Sides,,QZ,3/30/12,61-62,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,366.1,,,,,,0,0,#VALUE!,
SPD036,MgO,,366,,,0,,0,Trash,Deposited on Both Sides,,QZ,3/30/12,61-62,MgO,,,20-800,30-55,400,,,,47,,,,,,,,,366.2,,,,,,0,0,#VALUE!,
SPD037,SiNx,,646,,,0,,0,Released to Fab,Fab,,,3/30/12,63,SiNx,,,20,65,400,,,,47,,,,,,,,,646.2,,,,,,0,0,0,
SPD038,SiNx,,650,,,0,,0,Released to Fab,Fab,,,3/30/12,63,SiNx,,,20,65,400,,,,47,,,,,,,,,650.1,,,,,,0,0,0,
SPD039,SiNx,,661,,,0,,0,Released to Fab,Fab,,,3/30/12,63,SiNx,,,20,65,400,,,,47,,,,,,,,,660.7,,,,,,0,0,0,
SPD040,SiNx,,657,,,0,,0,Released to Fab,Fab,,,3/30/12,63,SiNx,,,20,65,400,,,,47,,,,,,,,,656.8,,,,,,0,0,0,
SPD041,MgO,,304,,,0,,0,,Rs vs Time Meas.,,,4/2/12,64-65,MgO,,,20-800,30-65,400,,,,47,,,,,,,,,304.2,,,,,,0,0,#VALUE!,
SPD042,MgO,,264,,,0,,0,,Rs vs Time Meas.,,,4/2/12,64-65,MgO,,,20-800,30-65,400,,,,47,,,,,,,,,264.4,,,,,,0,0,#VALUE!,
SPD043,MgO,,299,,,0,,0,,Rs vs Time Meas.,,,4/2/12,64-65,MgO,,,20-800,30-65,400,,,,47,,,,,,,,,298.8,,,,,,0,0,#VALUE!,
SPD044,MgO,,304,,,0,,0,,Rs vs Time Meas.,,,4/2/12,64-65,MgO,,,20-800,30-65,400,,,,47,,,,,,,,,304.5,,,,,,0,0,#VALUE!,
SPD045,MgO,,,,,0,,0,,Deposition Rate Test,,,4/5/12,66,MgO,,,20,30,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD046,MgO,,,,,0,,0,,Deposition Rate Test,,,4/5/12,66,MgO,,,20,30,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD047,MgO,,,,,0,,0,,Deposition Rate Test,,,4/5/12,66,MgO,,,20,30,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD048,MgO,,,,,0,,0,,Deposition Rate Test,,,4/5/12,66,MgO,,,20,30,400,,,,47,,,,,,,,,,,,,,,0,0,0,
SPD049,MgO,,904,,,0,,0,poor HSQ spin/trash,Seeking 600Ohm/Square Rs,,KS,4/5/12,67,MgO,,,800,40,400,,,,47,,,,,,,,,903.9,,,,,,0,0,0,
SPD050,MgO,,917,,,0,,0,HSQ dose test,Seeking 600Ohm/Square Rs,,KS,4/5/12,67,MgO,,,800,40,400,,,,47,,,,,,,,,916.6,,,,,,0,0,0,
SPD051,MgO,,904,,,0,,0,liftoff,Seeking 600Ohm/Square Rs,,KS,4/5/12,67,MgO,,,800,40,400,,,,47,,,,,,,,,904.4,,,,,,0,0,0,
SPD052,MgO,,901,,,0,,0,liftoff,Seeking 600Ohm/Square Rs,,KS,4/5/12,67,MgO,,,800,40,400,,,,47,,,,,,,,,901,,,,,,0,0,0,
SPD053,MgO,,509,,,0,,0,Trash,Adam fab,,,4/5/12,68,MgO,,,800,47,400,,,,47,,,,,,,,,508.7,,,,,,0,0,0,
SPD054,MgO,,496,,,0,,0,Self-oscillation tests,Adam fab,,AM,4/5/12,68,MgO,,,800,47,400,,,,47,,,,,,,,,495.7,,,,,,0,0,0,
SPD055,MgO,,530,,,0,,0,fab on hold while testing backlog,Adam fab,,,4/5/12,68,MgO,,,800,47,400,,,,47,,,,,,,,,529.8,,,,,,0,0,0,
SPD056,MgO,"2.8218, 2.7289",496,10.12,2.05,#VALUE!,,#VALUE!,Elionix,Detectors,,QZ,4/5/12,68,MgO,,,800,47,400,,,,47,,,0.1714,0.6574,0.1712,measured with T and R,"2.8218, 2.7289",,495.6,,10.12,2.05,,,#VALUE!,#VALUE!,#VALUE!,
SPD057,SiNx,,705,,,0,,0,Released to Fab,Fab,,,4/17/12,69,SiNx,,,20,65,400,,,,47,,,,,,,,,705.3,,,,,,0,0,0,
SPD058,SiNx,,713,,,0,,0,Released to Fab,Fab,,,4/17/12,69,SiNx,,,20,65,400,,,,47,,,,,,,,,713.5,,,,,,0,0,0,
SPD059,SiNx,,713,,,0,,0,Released to Fab,Fab,,,4/17/12,69,SiNx,,,20,65,400,,,,47,,,,,,,,,713.1,,,,,,0,0,0,
SPD060,SiNx,,704,,,0,,0,Released to Fab,Fab,,,4/17/12,69,SiNx,,,20,65,400,,,,47,,,,,,,,,704.3,,,,,,0,0,0,
SPD061,MgO,6.2,337,8.3,1.38,209,0.545,"17,352",Tc testing done.,Optical and Tc Meas,,,4/19/12,71,MgO,,,800,95,400,,,,47,,,0.2292,0.4937,0.2771,based on T,6.2,,337.2,,8.3,1.38,0.55,Manual,209.06,"17,352.07",3.92,
SPD062,MgO,,386,,,0,,0,Elionix; Liftoff Failed,Detectors,,QZ,4/19/12,71,MgO,,,800,95,400,,,,47,,,,,,,,,386.1,,,,,,0,0,0,
SPD063,MgO,,355,,,0,,0,Elionix; Liftoff Failed,Detectors,,QZ,4/19/12,71,MgO,,,800,95,400,,,,47,,,,,,,,,354.7,,,,,,0,0,0,
SPD064,MgO,,330,,,0,,0,Elionix; Liftoff Failed,Detectors,,QZ,4/19/12,71,MgO,,,800,95,400,,,,47,,,,,,,,,329.6,,,,,,0,0,0,
SPD065,MgO,10.3,112,,,115,,0,Released to Fab,Fab,,,4/19/12,72,MgO,,,800,150,400,,,,47,,,0.3041,0.3601,0.3357,based on T,10.3,,111.6,,,,,,114.92,0,4.12,
SPD066,MgO,,110,,,0,,0,Released to Fab,Fab,,,4/19/12,72,MgO,,,800,150,400,,,,47,,,,,,,,,110,,,,,,0,0,0,
